Fn[kN],Pt3[Pa],Tt3[K],W3[kg/s],Tt4[K],Wf[kg/s],WAS[kg/s]
1.423000000000000114e+02,3.175119717120000161e+06,8.272555555555554747e+02,5.169320853776080327e+01,1.736444444444444343e+03,5.920167093787769286e-01,1.851439189800625496e+00
1.395999999999999943e+02,3.094169718911999837e+06,8.203055555555555429e+02,5.059618290479680525e+01,1.722388888888888914e+03,5.794530182537214191e-01,1.786569952895871172e+00
1.368000000000000114e+02,3.021096294527999591e+06,8.140611111111110176e+02,4.961115988676319688e+01,1.708888888888888914e+03,5.681720375931259559e-01,1.726630823626896793e+00
1.340000000000000000e+02,2.954046132480000146e+06,8.083833333333333258e+02,4.871613895624319923e+01,1.695500000000000000e+03,5.579218062552021573e-01,1.670055377350053272e+00
1.311999999999999886e+02,2.891430680064000189e+06,8.031166666666665606e+02,4.788711956261440150e+01,1.682111111111111086e+03,5.484274578231678188e-01,1.615830457217440452e+00
1.285000000000000000e+02,2.832058522752000019e+06,7.979777777777777601e+02,4.711810159090080674e+01,1.668000000000000000e+03,5.396202759525657866e-01,1.562282159862472319e+00
1.257000000000000028e+02,2.774605866623999551e+06,7.928666666666665606e+02,4.638308442191519987e+01,1.653333333333333258e+03,5.312024884321432383e-01,1.509253661050041995e+00
1.229000000000000057e+02,2.718609383807999548e+06,7.878666666666665606e+02,4.566606764321680600e+01,1.638722222222222172e+03,5.229908504645692791e-01,1.457837398470199108e+00
1.200999999999999943e+02,2.664400022783999797e+06,7.830833333333332575e+02,4.496505124974368073e+01,1.624611111111111086e+03,5.149624569826406484e-01,1.408738171859685862e+00
1.174000000000000057e+02,2.610720179328000173e+06,7.783388888888888459e+02,4.426403486080648264e+01,1.610722222222222172e+03,5.069340635526595751e-01,1.361078500610694242e+00
1.145999999999999943e+02,2.557437474047999829e+06,7.736111111111110858e+02,4.355901838009887683e+01,1.596888888888888914e+03,4.988598590532150601e-01,1.314373833323884577e+00
1.117999999999999972e+02,2.503890009984000120e+06,7.687944444444444798e+02,4.284900177787440612e+01,1.583055555555555657e+03,4.907283906390192962e-01,1.268711388918936311e+00
1.090999999999999943e+02,2.449084941695999820e+06,7.640499999999998408e+02,4.209398412735720285e+01,1.570333333333333258e+03,4.820815475115399762e-01,1.225079640715135643e+00
1.062999999999999972e+02,2.393750355839999858e+06,7.593333333333332575e+02,4.131596593782040117e+01,1.558111111111111086e+03,4.731712906047753076e-01,1.182772031332124163e+00
1.035000000000000000e+02,2.338481959679999854e+06,7.545833333333332575e+02,4.053094758541743658e+01,1.546000000000000000e+03,4.641808643004753931e-01,1.141453784239366387e+00
1.007000000000000028e+02,2.283213563519999851e+06,7.497944444444444798e+02,3.973692901972719937e+01,1.534000000000000000e+03,4.550873630119605662e-01,1.100996272874754434e+00
9.800000000000000000e+01,2.228011357055999804e+06,7.449444444444444571e+02,3.893991038747711997e+01,1.522000000000000000e+03,4.459595034473218256e-01,1.061330780530198581e+00
